table with row headers in column A,,,,,,,,,,,,,,,,,,,,,,
"Part III.  Population of Counties, Earliest Census to 1990",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- ALABAMA: 1800-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,1800,Notes,
Arizona,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"6,482","To Pima, Yuma; Yavapai",,,,,,,
Cochise ,"97,624","85,686","61,910","55,039","31,488","34,627","40,998","46,465","34,591","9,251","6,938",--- ,--- ,--- ,*Pima ,,,,,,,
Coconino ,"96,591","75,008","48,326","41,857","23,910","18,770","14,064","9,982","8,130","5,514",--- ,--- ,--- ,--- ,*Yavapai,,,,,,,
Gila ,"40,216","37,080","29,255","25,745","24,158","23,867","31,016","25,678","16,348","4,973","2,021",--- ,--- ,--- ,"*Maricopa, Pinal, Yavapai; Apache",,,,,,,
Graham ,"26,554","22,862","16,578","14,045","12,985","12,113","10,373","10,148","23,999","14,162","5,670",--- ,--- ,--- ,"*Apache, Pima",,,,,,,
Greenlee ,"8,008","11,406","10,330","11,509","12,805","8,698","9,886","15,362",--- ,--- ,--- ,--- ,--- ,--- ,*Graham,,,,,,,
La Paz,"13,844",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,*Yuma; see note 3,,,,,,,
Maricopa ,"2,122,101","1,509,052","967,522","663,510","331,770","186,193","150,970","89,576","34,488","20,457","10,986","5,689",--- ,--- ,"*Yavapai, Pima",,,,,,,
Mohave ,"93,497","55,865","25,857","7,736","8,510","8,591","5,572","5,259","3,773","3,426","1,444","1,190",179,--- ,,,,,,,,
Navajo ,"77,658","67,629","47,715","37,994","29,446","25,309","21,202","16,077","11,471","8,829",--- ,--- ,--- ,--- ,*Apache,,,,,,,
Pima ,"666,880","531,443","351,667","265,660","141,216","72,838","55,676","34,680","22,818","14,689","12,673","17,006","5,716",--- ,"*Arizona, Dona Ana (NM)",,,,,,,
Pinal ,"116,379","90,918","67,916","62,673","43,191","28,841","22,081","16,130","9,045","7,779","4,251","3,044",--- ,--- ,"*Pima, Yavapai",,,,,,,
Santa Cruz ,"29,676","20,459","13,966","10,808","9,344","9,482","9,684","12,689","6,766","4,545",--- ,--- ,--- ,--- ,*Pima,,,,,,,
Yavapai ,"107,714","68,145","36,733","28,912","24,991","26,511","28,470","24,016","15,996","13,799","8,685","5,013","2,142",--- ,,,,,,,,
Yuma ,"106,895","90,554","60,827","46,235","28,006","19,326","17,816","14,904","7,733","4,145","2,671","3,215","1,621",--- ,*Arizona; see note 3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ARIZONA NOTES  ,,,,,,,,,,,,,,,,,,,,,,
"Arizona was acquired from Mexico in 1848 and 1853.  It was established as a territory in 1863 from New Mexico Territory, and acquired essentially its present boundaries in 1866.  Arizona was admitted as a State on February 4, 1912.  ",,,,,,,,,,,,,,,,,,,,,,
"In 1850 present-day Arizona had no census coverage.  The 1860 population is for Arizona County, New Mexico Territory, which comprised most of present-day Arizona south of the Gila River.  Northern and central Arizona first had census coverage in 1870.  ",,,,,,,,,,,,,,,,,,,,,,
County Notes:  ,,,,,,,,,,,,,,,,,,,,,,
"Note 1: Population for 1860 is for Arizona County, New Mexico Territory.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 2: Totals for 1890 and 1900 include population of certain Indian reservations not reported by county (1890: 28,623; 1900: 3,065).  ",,,,,,,,,,,,,,,,,,,,,,
"Note 3: La Paz County (1980 pop. 12,557) was formed from Yuma County in 1983.  ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- ARKANSAS: 1810-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,1840,1830,1820,1810,Notes,,
,,,,,,,,,,,,,,,,,,,,,,
ARKANSAS,"2,350,725","2,286,435","1,923,295","1,786,272","1,909,511","1,949,387","1,854,482","1,752,204","1,574,449","1,311,564","1,128,211","802,525","484,471","435,450","209,897","97,574","30,388","14,273","1,062",See notes 1 and 2,,
,,,,,,,,,,,,,,,,,,,,,,
Arkansas ,"21,653","24,175","23,347","23,355","23,665","24,437","22,300","21,483","16,103","12,973","11,432","8,038","8,268","8,844","3,245","1,346","1,426","1,260","1,062",See note 1,,
Ashley ,"24,319","26,538","24,976","24,220","25,660","26,785","25,151","23,410","25,268","19,734","13,295","10,156","8,042","8,590","2,058",--- ,--- ,--- ,--- ,"*Union, Chicot",,
Baxter ,"31,186","27,409","15,319","9,943","11,683","10,281","9,519","10,216","10,389","9,298","8,527","6,004",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Fulton, Marion, Izard, Searcy",,
Benton ,"97,499","78,115","50,476","36,272","38,076","36,148","35,253","36,253","33,389","31,611","27,716","20,328","13,831","9,306","3,710","2,228",--- ,--- ,--- ,*Washington,,
Boone ,"28,297","26,067","19,073","16,116","16,260","15,860","14,937","16,098","14,318","16,396","15,816","12,146","7,032",--- ,--- ,--- ,--- ,--- ,--- ,"*Carroll, Marion",,
Bradley ,"11,793","13,803","12,778","14,029","15,987","18,097","17,494","15,970","14,518","9,651","7,972","6,285","8,646","8,388","3,829",--- ,--- ,--- ,--- ,*Union,,
Calhoun ,"5,826","6,079","5,573","5,991","7,132","9,636","9,752","11,807","9,894","8,539","7,267","5,671","3,853","4,103",--- ,--- ,--- ,--- ,--- ,"*Dallas, Ouachita, Union",,
Carroll ,"18,654","16,203","12,301","11,284","13,244","14,737","15,820","17,786","16,829","18,848","17,288","13,337","5,780","9,383","4,614","2,844",--- ,--- ,--- ,*Izard; Washington,,
Chicot ,"15,713","17,793","18,164","18,990","22,306","27,452","22,646","21,749","21,987","14,528","11,419","10,117","7,214","9,234","5,115","3,806","1,165",--- ,--- ,*Arkansas,,
Clark ,"21,437","23,326","21,537","20,950","22,998","24,402","24,932","25,632","23,686","21,289","20,997","15,771","11,953","9,735","4,070","2,309","1,369","1,040",--- ,,,
Clay ,"18,107","20,616","18,771","21,258","26,674","28,386","27,278","27,276","23,690","15,886","12,200","7,213",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Greene, Randolph",,
Cleburne ,"19,411","16,909","10,349","9,059","11,487","13,134","11,373","12,696","11,903","9,628","7,884",--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Van Buren, Independence, White",,
Cleveland ,"7,781","7,868","6,605","6,944","8,956","12,570","12,744","12,260","13,481","11,620","11,362","8,370",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 2,,
Columbia ,"25,691","26,644","25,952","26,400","28,770","29,822","27,320","27,670","23,820","22,077","19,893","14,090","11,397","12,449",--- ,--- ,--- ,--- ,--- ,See note 3,,
Conway ,"19,151","19,505","16,805","15,430","18,137","21,536","21,949","22,578","22,729","19,772","19,459","12,755","8,112","6,697","3,583","2,892",982,--- ,--- ,*Pulaski,,
Craighead ,"68,956","63,239","52,068","47,303","50,613","47,200","44,740","37,541","27,627","19,505","12,025","7,037","4,577","3,066",--- ,--- ,--- ,--- ,--- ,"*Poinsett, Greene, Mississippi",,
Crawford ,"42,493","36,892","25,677","21,318","22,727","23,920","22,549","25,739","23,942","21,270","21,714","14,740","8,957","7,850","7,960","4,266","2,440",--- ,--- ,"*Pulaski, Lawrence",,
Crittenden ,"49,939","49,499","48,106","47,564","47,184","42,473","39,717","29,309","22,447","14,529","13,940","9,415","3,831","4,920","2,648","1,561","1,272",--- ,--- ,*Phillips,,
Cross ,"19,225","20,434","19,783","19,551","24,757","26,046","25,723","18,579","14,042","11,051","7,693","5,050","3,915",--- ,--- ,--- ,--- ,--- ,--- ,"*Poinsett, St. Francis, Crittenden",,
Dallas ,"9,614","10,515","10,022","10,522","12,416","14,471","14,671","14,424","12,621","11,518","9,296","6,505","5,707","8,283","6,877",--- ,--- ,--- ,--- ,"*Clark, Union; Jefferson",,
Desha ,"16,798","19,760","18,761","20,770","25,155","27,160","21,814","20,297","15,274","11,511","10,324","8,973","6,125","6,459","2,911","1,598",--- ,--- ,--- ,"*Arkansas, Union",,
Drew ,"17,369","17,910","15,157","15,213","17,959","19,831","19,928","21,822","21,960","19,451","17,352","12,231","9,960","9,078","3,276",--- ,--- ,--- ,--- ,"*Union, Chicot, Desha",,
Faulkner ,"60,006","46,192","31,572","24,303","25,289","25,880","28,381","27,681","23,708","20,780","18,342","12,786",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Conway, Pulaski",,
Franklin ,"14,897","14,705","11,301","10,213","12,358","15,683","15,762","19,364","20,638","17,395","19,934","14,951","9,627","7,298","3,972","2,665",--- ,--- ,--- ,"*Crawford; Pope, Washington",,
Fulton ,"10,037","9,975","7,699","6,657","9,187","10,253","10,834","11,182","12,193","12,917","10,984","6,720","4,843","4,024","1,819",--- ,--- ,--- ,--- ,"*Izard, Marion",,
Garland ,"73,397","70,531","54,131","46,697","47,102","41,664","36,031","25,785","27,271","18,773","15,328","9,023",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Montgomery, Hot Spring, Saline",,
Grant ,"13,948","13,008","9,711","8,294","9,024","10,477","9,834","10,710","9,425","7,671","7,786","6,185","3,943",--- ,--- ,--- ,--- ,--- ,--- ,"*Saline, Jefferson, Hot Spring",,
Greene ,"31,804","30,744","24,765","25,198","29,149","30,204","26,127","26,105","23,852","16,979","12,908","7,480","7,573","5,843","2,593","1,586",--- ,--- ,--- ,*Lawrence,,
Hempstead ,"21,621","23,635","19,308","19,661","25,080","32,770","30,847","31,602","28,285","24,101","22,796","19,015","13,768","13,989","7,672","4,921","2,512","2,248",--- ,,,
Hot Spring ,"26,115","26,819","21,963","21,893","22,181","18,916","18,105","17,784","15,022","12,748","11,603","7,775","5,877","5,635","3,609","1,907",458,--- ,--- ,"*Clark, Pulaski",,
Howard ,"13,569","13,459","11,412","10,878","13,342","16,621","17,489","18,565","16,898","14,076","13,789","9,917",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 4,,
Independence ,"31,192","30,147","22,723","20,048","23,488","25,643","24,225","23,976","24,776","22,557","21,961","18,086","14,566","14,307","7,767","3,669","2,031",--- ,--- ,*Lawrence,,
Izard ,"11,364","10,768","7,381","6,766","9,953","12,834","12,872","13,871","14,561","13,506","13,038","10,857","6,806","7,215","3,213","2,240","1,266",--- ,--- ,*Lawrence,,
Jackson ,"18,944","21,646","20,452","22,843","25,912","26,427","27,943","25,446","23,501","18,383","15,179","10,877","7,268","10,493","3,086","1,540",333,--- ,--- ,"*Lawrence, Phillips",,
Jefferson ,"85,487","90,718","85,329","81,373","76,075","65,101","64,154","60,330","52,734","40,972","40,881","22,386","15,733","14,971","5,834","2,566",772,--- ,--- ,"*Pulaski, Arkansas",,
Johnson ,"18,221","17,423","13,630","12,421","16,138","18,795","19,289","21,062","19,698","17,448","16,758","11,565","9,152","7,612","5,227","3,433",--- ,--- ,--- ,*Pope,,
Lafayette ,"9,643","10,213","10,018","11,030","13,203","16,851","16,934","15,522","13,741","10,594","7,700","5,730","9,139","8,464","5,220","2,200",748,--- ,--- ,*Hempstead,,
Lawrence ,"17,457","18,447","16,320","17,267","21,303","22,651","21,663","22,098","20,001","16,491","12,984","8,782","5,981","9,372","5,274","2,835","2,806","5,602",--- ,"*New Madrid (MO), Arkansas",,
Lee ,"13,053","15,539","18,884","21,001","24,322","26,810","26,637","28,852","24,252","19,409","18,886","13,288",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 5,,
Lincoln ,"13,690","13,369","12,913","14,447","17,079","19,709","20,250","18,774","15,118","13,389","10,255","9,255",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Drew, Arkansas, Jefferson",,
Little River ,"13,966","13,952","11,194","9,211","11,690","15,932","15,515","16,301","13,597","13,731","8,903","6,404","3,236",--- ,--- ,--- ,--- ,--- ,--- ,"*Sevier, Hempstead",,
Logan ,"20,557","20,144","16,789","15,957","20,260","25,967","24,110","25,866","26,350","20,563","20,774","14,885",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Johnson, Scott, Franklin, Yell, Pope",,
Lonoke ,"39,268","34,518","26,249","24,551","27,278","29,802","33,759","33,400","27,983","22,544","19,263","12,146",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Prairie, Pulaski",,
Madison ,"11,618","11,373","9,453","9,068","11,734","14,531","13,334","14,918","16,056","19,864","17,402","11,455","8,231","7,740","4,823","2,775",--- ,--- ,--- ,"*Washington, Izard",,
Marion ,"12,001","11,334","7,000","6,041","8,609","9,464","8,876","10,154","10,203","11,377","10,390","7,907","3,979","6,192","2,308","1,325",--- ,--- ,--- ,*Izard,,
Miller (old),--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,--- ,356,999,--- ,See note 6,,
Miller ,"38,467","37,766","33,385","31,686","32,614","31,874","30,586","24,021","19,555","17,558","14,714","9,919",--- ,--- ,--- ,--- ,--- ,--- ,--- ,*Lafayette; see note 6,,
Mississippi ,"57,525","59,517","62,060","70,174","82,375","80,217","69,289","47,320","30,468","16,384","11,635","7,332","3,633","3,895","2,368","1,410",--- ,--- ,--- ,*Crittenden,,
Monroe ,"11,333","14,052","15,657","17,327","19,540","21,133","20,651","21,601","19,907","16,816","15,336","9,574","8,336","5,657","2,049",936,461,--- ,--- ,"*Phillips, Arkansas",,
Montgomery ,"7,841","7,771","5,821","5,370","6,680","8,876","10,768","11,112","12,455","9,444","7,923","5,729","2,984","3,633","1,958",--- ,--- ,--- ,--- ,*Hot Spring,,
Nevada ,"10,101","11,097","10,111","10,700","14,781","19,869","20,407","21,934","19,344","16,609","14,832","12,959",--- ,--- ,--- ,--- ,--- ,--- ,--- ,"*Ouachita, Hempstead, Columbia",,
Newton ,"7,666","7,756","5,844","5,963","8,685","10,881","10,564","11,199","10,612","12,538","9,950","6,120","4,374","3,393","1,758",--- ,--- ,--- ,--- ,"*Carroll, Pope, Johnson; Madison",,
Ouachita ,"30,574","30,541","30,896","31,641","33,051","31,151","29,890","20,636","21,774","20,892","17,033","11,758","12,975","12,936","9,591",--- ,--- ,--- ,--- ,*Union,,
Perry ,"7,969","7,266","5,634","4,927","5,978","8,392","7,695","9,905","9,402","7,294","5,538","3,872","2,685","2,465",978,--- ,--- ,--- ,--- ,*Conway; Pulaski,,
Phillips ,"28,838","34,772","40,046","43,997","46,254","45,970","40,683","44,530","33,535","26,561","25,341","21,262","15,372","14,877","6,935","3,547","1,152","1,201",--- ,"*Arkansas, New Madrid (MO)",,
Pike ,"10,086","10,373","8,711","7,864","10,032","11,786","11,792","12,397","12,565","10,301","8,537","6,345","3,788","4,025","1,861",969,--- ,--- ,--- ,"*Clark, Hempstead",,
Poinsett ,"24,664","27,032","26,822","30,834","39,311","37,670","29,695","20,848","12,791","7,025","4,272","2,192","1,720","3,621","2,308","1,320",--- ,--- ,--- ,"*Lawrence, St. Francis",,
Polk ,"17,347","17,007","13,297","11,981","14,182","15,832","14,857","16,412","17,216","18,352","9,283","5,857","3,376","4,262","1,263",--- ,--- ,--- ,--- ,*Sevier,,
Pope ,"45,883","39,021","28,607","21,177","23,291","25,682","26,547","27,153","24,527","21,715","19,458","14,322","8,386","7,883","4,710","2,850","1,483",--- ,--- ,*Pulaski,,
Prairie ,"9,518","10,140","10,249","10,515","13,768","15,304","15,187","17,447","13,853","11,875","11,374","8,435","5,604","8,854","2,097",--- ,--- ,--- ,--- ,*Pulaski,,
Pulaski ,"349,660","340,613","287,189","242,980","196,685","156,085","137,727","109,464","86,751","63,179","47,329","32,616","32,066","11,699","5,657","5,350","2,395","1,923",--- ,*Arkansas,,
Randolph ,"16,558","16,834","12,645","12,520","15,982","18,319","16,871","17,713","18,987","17,156","14,485","11,724","7,466","6,261","3,275","2,196",--- ,--- ,--- ,*Lawrence,,
St. Francis ,"28,497","30,858","30,799","33,303","36,841","36,043","33,394","28,385","22,548","17,157","13,543","8,389","6,714","8,672","4,479","2,499","1,505",--- ,--- ,*Phillips; Lawrence,,
Saline ,"64,183","53,161","36,107","28,956","23,816","19,163","15,660","16,781","16,657","13,122","11,311","8,953","3,911","6,640","3,903","2,061",--- ,--- ,--- ,"*Pulaski, Hot Spring",,
Scott ,"10,205","9,685","8,207","7,297","10,057","13,300","11,803","13,232","14,302","13,183","12,635","9,174","7,483","5,145","3,083","1,694",--- ,--- ,--- ,"*Crawford, Pope, Hot Spring",,
Searcy ,"7,841","8,847","7,731","8,124","10,424","11,942","11,056","14,590","14,825","11,988","9,664","7,278","5,614","5,271","1,979",936,--- ,--- ,--- ,*Izard,,
Sebastian ,"99,590","95,172","79,237","66,685","64,202","62,809","54,426","56,739","52,278","36,935","33,200","19,560","12,940","9,238",--- ,--- ,--- ,--- ,--- ,"*Crawford, Scott; Montgomery",,
Sevier ,"13,637","14,060","11,272","10,156","12,293","15,248","16,364","18,301","16,616","16,339","10,072","6,192","4,492","10,516","4,240","2,810",634,--- ,--- ,"*Hempstead, Miller (old)",,
Sharp ,"14,109","14,607","8,233","6,319","8,999","11,497","10,715","11,132","11,688","12,199","10,418","9,047","5,400",--- ,--- ,--- ,--- ,--- ,--- ,*Lawrence,,
Stone ,"9,775","9,022","6,838","6,294","7,662","8,603","7,993","8,779","8,946","8,100","7,043","5,089",--- ,--- ,--- ,--- ,--- ,--- ,--- ,See note 7,,
Union ,"46,719","48,573","45,428","49,518","49,686","50,461","55,800","29,691","30,723","22,495","14,977","13,419","10,571","12,288","10,298","2,889",640,--- ,--- ,"*Clark, Hempstead, Arkansas",,
Van Buren ,"14,008","13,357","8,275","7,228","9,687","12,518","11,962","13,666","13,509","11,220","8,567","9,565","5,107","5,357","2,864","1,518",--- ,--- ,--- ,"*Izard, Conway, Independence",,
Washington ,"113,409","100,494","77,370","55,797","49,979","41,114","39,255","35,468","33,889","34,256","32,024","23,844","17,266","14,673","9,970","7,148","2,182",--- ,--- ,*Lawrence,,
White ,"54,676","50,835","39,253","32,745","38,040","37,176","38,269","34,603","28,574","24,864","22,946","17,794","10,347","8,316","2,619",929,--- ,--- ,--- ,"*Pulaski, Jackson, Independence",,
Woodruff ,"9,520","11,222","11,566","13,954","18,957","22,133","22,682","21,547","20,049","16,304","14,009","8,646","6,891",--- ,--- ,--- ,--- ,--- ,--- ,"*Jackson, St. Francis",,
Yell ,"17,759","17,026","14,208","11,940","14,057","20,970","21,313","25,655","26,323","22,750","18,015","13,852","8,048","6,333","3,341",--- ,--- ,--- ,--- ,"*Pope, Scott, Hot Spring; Conway",,
,,,,,,,,,,,,,,,,,,,,,,
ARKANSAS NOTES  ,,,,,,,,,,,,,,,,,,,,,,
"Arkansas was acquired as part of the Louisiana Purchase of 1803 and was included in Louisiana Territory, established in 1805 and comprising the whole of the Louisiana Purchase north of present-day Louisiana.  Arkansas (then spelled Arkansaw) became a territory in 1819 and at first included most of present-day Oklahoma; in 1828 it reached essentially its present boundaries, although the boundary with Texas was incorrectly interpreted at that time.  Arkansas was admitted as a State on June 15, 1836. ",,,,,,,,,,,,,,,,,,,,,,
"In 1810, census coverage of Louisiana Territory was limited to portions of present-day Arkansas and Missouri, mainly close to the Mississippi River. The 1810 census was reported by districts; the total for 1810 is for Arkansas District, which was entirely within present-day Arkansas.  New Madrid District, which included the northern part of present-day Arkansas, was mainly in Missouri.  In 1820 census coverage included much of the present State and a small number of people in present-day Oklahoma and Texas.  By 1830 census coverage included the whole of Arkansas, and also included (in old Miller County) a portion of today's Texas.  ",,,,,,,,,,,,,,,,,,,,,,
County Notes:  ,,,,,,,,,,,,,,,,,,,,,,
"Note 1: Total for 1810 is population of Arkansas District, Louisiana Territory.  Total for 1890 includes 32 Indians in prison, not reported by county.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 2: Cleveland: *Bradley, Jefferson, Dallas; 1880: Dorsey.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 3: Columbia: *Lafayette, Union, Ouachita, Hempstead.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 4: Howard: *Sevier, Polk, Hempstead, Pike; Little River.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 5: Lee: *Phillips, St. Francis, Monroe, Crittenden.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 6: The first Miller County, established in 1820 by Arkansas Territory, included some population within the legal boundaries of Spanish Mexico and some within present-day Oklahoma; in 1830 the area reported as Miller was actually entirely within Mexico (Texas).  By 1840, with the location of boundaries better understood, it no longer existed as an Arkansas county. The present Miller County was created in 1874.  ",,,,,,,,,,,,,,,,,,,,,,
"Note 7: Stone: *Izard, Independence, Van Buren, Searcy.  ",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
POPULATION OF COUNTIES -- CALIFORNIA: 1850-1990,,,,,,,,,,,,,,,,,,,,,,
County,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850,Notes,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CALIFORNIA,"29,760,021","23,667,902","19,953,134","15,717,204","10,586,223","6,907,387","5,677,251","3,426,861","2,377,549","1,485,053","1,213,398","864,694","560,247","379,994","92,597",See notes 1 and 2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Alameda ,"1,279,182","1,105,379","1,073,184","908,209","740,315","513,011","474,883","344,177","246,131","130,197","93,864","62,976","24,237","8,927",--- ,,,,,,,
